X,Y,B,G,R,Gx,Gy
65,64,85,74,99,0.04511221032887475,0.13826517935484947
65,65,76,71,98,0.0214106195359553,0.1308992675592447
65,66,66,73,96,0.0,0.1287068006749893
65,67,64,75,94,-0.0214106195359553,0.1308992675592447
65,68,59,82,91,-0.04511221032887475,0.13826517935484947
66,63,100,79,91,0.061575680566778264,0.10335206051617353
66,64,91,78,90,0.03826297667586875,0.09632405027258556
66,65,85,77,89,0.01842431943322176,0.0927510698353074
66,66,77,82,89,0.0,0.09164721253127672
66,67,73,84,88,-0.01842431943322176,0.0927510698353074
66,68,63,92,83,-0.03826297667586875,0.09632405027258556
66,69,60,100,76,-0.061575680566778264,0.10335206051617353
67,62,107,81,91,0.08000000000000003,0.08000000000000003
67,63,101,79,90,0.05474926718086332,0.07313727383716523
67,64,95,81,86,0.03451121964800863,0.06920142621660752
67,65,89,82,87,0.016733781794646463,0.06712694158311132
67,66,82,88,90,0.0,0.06647615158762404
67,67,81,92,89,-0.016733781794646463,0.06712694158311132
67,68,69,97,82,-0.03451121964800863,0.06920142621660752
67,69,64,104,76,-0.05474926718086332,0.07313727383716523
67,70,51,110,66,-0.08000000000000003,0.08000000000000003
68,61,127,86,74,0.10335206051617353,0.061575680566778264
68,62,120,84,78,0.07313727383716523,0.05474926718086332
68,63,115,83,80,0.05077710678338576,0.05077710678338576
68,64,103,81,76,0.032252644421814865,0.048418578457614166
68,65,101,87,77,0.015699044804238282,0.04715256350368319
68,66,92,93,76,0.0,0.0467521999912377
68,67,88,98,73,-0.015699044804238282,0.04715256350368319
68,68,76,103,70,-0.032252644421814865,0.048418578457614166
68,69,70,107,69,-0.05077710678338576,0.05077710678338576
68,70,59,114,56,-0.07313727383716523,0.05474926718086332
68,71,47,117,45,-0.10335206051617353,0.061575680566778264
69,60,133,90,67,0.13826517935484947,0.04511221032887475
69,61,128,88,70,0.09632405027258556,0.03826297667586875
69,62,117,84,71,0.06920142621660752,0.03451121964800863
69,63,112,83,74,0.048418578457614166,0.032252644421814865
69,64,106,87,77,0.03088667636830605,0.03088667636830605
69,65,103,90,75,0.015067403328270003,0.03014605954138166
69,66,92,94,74,0.0,0.029910794252010212
69,67,88,98,71,-0.015067403328270003,0.03014605954138166
69,68,79,105,65,-0.03088667636830605,0.03088667636830605
69,69,72,110,61,-0.048418578457614166,0.032252644421814865
69,70,56,113,43,-0.06920142621660752,0.03451121964800863
69,71,43,116,30,-0.09632405027258556,0.03826297667586875
69,72,27,122,15,-0.13826517935484947,0.04511221032887475
70,60,141,92,49,0.1308992675592447,0.0214106195359553
70,61,136,91,50,0.0927510698353074,0.01842431943322176
70,62,127,91,53,0.06712694158311132,0.016733781794646463
70,63,122,91,55,0.04715256350368319,0.015699044804238282
70,64,114,93,57,0.03014605954138166,0.015067403328270003
70,65,109,96,57,0.014723162687942437,0.014723162687942437
70,66,96,97,55,0.0,0.014613556019536122
70,67,92,101,52,-0.014723162687942437,0.014723162687942437
70,68,83,109,43,-0.03014605954138166,0.015067403328270003
70,69,73,111,32,-0.04715256350368319,0.015699044804238282
70,70,58,116,17,-0.06712694158311132,0.016733781794646463
70,71,46,117,7,-0.0927510698353074,0.01842431943322176
70,72,33,126,1,-0.1308992675592447,0.0214106195359553
71,60,141,90,45,0.1287068006749893,0.0
71,61,134,90,46,0.09164721253127672,0.0
71,62,128,90,48,0.06647615158762404,0.0
71,63,122,90,48,0.0467521999912377,0.0
71,64,113,93,49,0.029910794252010212,0.0
71,65,105,92,44,0.014613556019536122,0.0
71,67,91,99,39,-0.014613556019536122,0.0
71,68,81,105,29,-0.029910794252010212,0.0
71,69,69,106,19,-0.0467521999912377,0.0
71,70,59,115,8,-0.06647615158762404,0.0
71,71,51,121,6,-0.09164721253127672,0.0
71,72,37,129,2,-0.1287068006749893,0.0
72,60,148,91,19,0.1308992675592447,-0.0214106195359553
72,61,140,90,22,0.0927510698353074,-0.01842431943322176
72,62,133,89,23,0.06712694158311132,-0.016733781794646463
72,63,129,91,26,0.04715256350368319,-0.015699044804238282
72,64,122,93,27,0.03014605954138166,-0.015067403328270003
72,65,115,93,22,0.014723162687942437,-0.014723162687942437
72,66,105,97,19,0.0,-0.014613556019536122
72,67,98,100,15,-0.014723162687942437,-0.014723162687942437
72,68,84,105,11,-0.03014605954138166,-0.015067403328270003
72,69,78,111,6,-0.04715256350368319,-0.015699044804238282
72,70,66,120,0,-0.06712694158311132,-0.016733781794646463
72,71,60,127,0,-0.0927510698353074,-0.01842431943322176
72,72,43,134,0,-0.1308992675592447,-0.0214106195359553
73,60,142,88,2,0.13826517935484947,-0.04511221032887475
73,61,136,87,5,0.09632405027258556,-0.03826297667586875
73,62,131,85,8,0.06920142621660752,-0.03451121964800863
73,63,128,88,14,0.048418578457614166,-0.032252644421814865
73,64,118,89,14,0.03088667636830605,-0.03088667636830605
73,65,115,94,14,0.015067403328270003,-0.03014605954138166
73,66,106,98,11,0.0,-0.029910794252010212
73,67,99,101,9,-0.015067403328270003,-0.03014605954138166
73,68,83,106,3,-0.03088667636830605,-0.03088667636830605
73,69,80,114,4,-0.048418578457614166,-0.032252644421814865
73,70,67,124,0,-0.06920142621660752,-0.03451121964800863
73,71,62,130,0,-0.09632405027258556,-0.03826297667586875
73,72,46,138,0,-0.13826517935484947,-0.04511221032887475
74,61,144,90,0,0.10335206051617353,-0.061575680566778264
74,62,136,89,0,0.07313727383716523,-0.05474926718086332
74,63,132,90,0,0.05077710678338576,-0.05077710678338576
74,64,124,93,0,0.032252644421814865,-0.048418578457614166
74,65,120,96,0,0.015699044804238282,-0.04715256350368319
74,66,111,102,0,0.0,-0.0467521999912377
74,67,108,108,0,-0.015699044804238282,-0.04715256350368319
74,68,92,115,0,-0.032252644421814865,-0.048418578457614166
74,69,86,122,0,-0.05077710678338576,-0.05077710678338576
74,70,71,131,0,-0.07313727383716523,-0.05474926718086332
74,71,65,138,0,-0.10335206051617353,-0.061575680566778264
75,62,139,91,0,0.08000000000000003,-0.08000000000000003
75,63,136,94,0,0.05474926718086332,-0.07313727383716523
75,64,127,97,0,0.03451121964800863,-0.06920142621660752
75,65,123,100,0,0.016733781794646463,-0.06712694158311132
75,66,112,104,0,0.0,-0.06647615158762404
75,67,107,110,0,-0.016733781794646463,-0.06712694158311132
75,68,95,119,0,-0.03451121964800863,-0.06920142621660752
75,69,87,126,0,-0.05474926718086332,-0.07313727383716523
75,70,72,134,0,-0.08000000000000003,-0.08000000000000003
76,63,138,99,0,0.061575680566778264,-0.10335206051617353
76,64,133,100,0,0.03826297667586875,-0.09632405027258556
76,65,128,103,0,0.01842431943322176,-0.0927510698353074
76,66,117,109,0,0.0,-0.09164721253127672
76,67,112,115,0,-0.01842431943322176,-0.0927510698353074
76,68,99,124,0,-0.03826297667586875,-0.09632405027258556
76,69,93,131,0,-0.061575680566778264,-0.10335206051617353
77,64,132,101,0,0.04511221032887475,-0.13826517935484947
77,65,128,105,0,0.0214106195359553,-0.1308992675592447
77,66,118,112,0,0.0,-0.1287068006749893
77,67,115,120,0,-0.0214106195359553,-0.1308992675592447
77,68,101,127,0,-0.04511221032887475,-0.13826517935484947
64,64,82,72,98,0.04511221032887475,0.13826517935484947
64,65,77,71,99,0.0214106195359553,0.1308992675592447
64,66,66,70,94,0.0,0.1287068006749893
64,67,61,71,92,-0.0214106195359553,0.1308992675592447
64,68,52,76,89,-0.04511221032887475,0.13826517935484947
65,63,97,74,99,0.061575680566778264,0.10335206051617353
65,64,84,70,98,0.03826297667586875,0.09632405027258556
65,65,78,71,98,0.01842431943322176,0.0927510698353074
65,66,69,72,93,0.0,0.09164721253127672
65,67,67,76,95,-0.01842431943322176,0.0927510698353074
65,68,57,81,92,-0.03826297667586875,0.09632405027258556
65,69,54,91,89,-0.061575680566778264,0.10335206051617353
66,62,108,79,91,0.08000000000000003,0.08000000000000003
66,63,101,76,91,0.05474926718086332,0.07313727383716523
66,64,89,74,92,0.03451121964800863,0.06920142621660752
66,65,86,78,94,0.016733781794646463,0.06712694158311132
66,66,79,81,91,0.0,0.06647615158762404
66,67,77,85,92,-0.016733781794646463,0.06712694158311132
66,68,67,93,86,-0.03451121964800863,0.06920142621660752
66,69,61,99,81,-0.05474926718086332,0.07313727383716523
66,70,50,109,71,-0.08000000000000003,0.08000000000000003
67,61,118,84,85,0.10335206051617353,0.061575680566778264
67,62,108,80,88,0.07313727383716523,0.05474926718086332
67,63,103,79,90,0.05077710678338576,0.05077710678338576
67,64,91,78,89,0.032252644421814865,0.048418578457614166
67,65,89,82,91,0.015699044804238282,0.04715256350368319
67,66,83,87,91,0.0,0.0467521999912377
67,67,79,90,89,-0.015699044804238282,0.04715256350368319
67,68,71,97,84,-0.032252644421814865,0.048418578457614166
67,69,64,103,76,-0.05077710678338576,0.05077710678338576
67,70,54,114,67,-0.07313727383716523,0.05474926718086332
67,71,43,118,59,-0.10335206051617353,0.061575680566778264
68,60,131,89,72,0.13826517935484947,0.04511221032887475
68,61,127,86,71,0.09632405027258556,0.03826297667586875
68,62,117,83,77,0.06920142621660752,0.03451121964800863
68,63,111,81,77,0.048418578457614166,0.032252644421814865
68,64,102,84,78,0.03088667636830605,0.03088667636830605
68,65,99,88,80,0.015067403328270003,0.03014605954138166
68,66,91,94,79,0.0,0.029910794252010212
68,67,88,100,75,-0.015067403328270003,0.03014605954138166
68,68,75,102,69,-0.03088667636830605,0.03088667636830605
68,69,71,108,65,-0.048418578457614166,0.032252644421814865
68,70,55,113,55,-0.06920142621660752,0.03451121964800863
68,71,45,120,45,-0.09632405027258556,0.03826297667586875
68,72,26,125,28,-0.13826517935484947,0.04511221032887475
69,60,134,90,71,0.1308992675592447,0.0214106195359553
69,61,128,89,73,0.0927510698353074,0.01842431943322176
69,62,117,85,73,0.06712694158311132,0.016733781794646463
69,63,112,83,74,0.04715256350368319,0.015699044804238282
69,64,104,87,75,0.03014605954138166,0.015067403328270003
69,65,101,92,77,0.014723162687942437,0.014723162687942437
69,66,91,94,74,0.0,0.014613556019536122
69,67,86,99,69,-0.014723162687942437,0.014723162687942437
69,68,75,105,65,-0.03014605954138166,0.015067403328270003
69,69,68,110,56,-0.04715256350368319,0.015699044804238282
69,70,53,114,40,-0.06712694158311132,0.016733781794646463
69,71,43,117,26,-0.0927510698353074,0.01842431943322176
69,72,25,123,10,-0.1308992675592447,0.0214106195359553
70,60,140,93,54,0.1287068006749893,0.0
70,61,135,92,55,0.09164721253127672,0.0
70,62,127,90,57,0.06647615158762404,0.0
70,63,120,89,56,0.0467521999912377,0.0
70,64,112,93,57,0.029910794252010212,0.0
70,65,107,95,57,0.014613556019536122,0.0
70,67,93,103,49,-0.014613556019536122,0.0
70,68,81,109,42,-0.029910794252010212,0.0
70,69,73,111,30,-0.0467521999912377,0.0
70,70,57,115,15,-0.06647615158762404,0.0
70,71,47,119,4,-0.09164721253127672,0.0
70,72,34,129,0,-0.1287068006749893,0.0
71,60,139,91,44,0.1308992675592447,-0.0214106195359553
71,61,133,89,45,0.0927510698353074,-0.01842431943322176
71,62,125,87,44,0.06712694158311132,-0.016733781794646463
