,Unnamed: 0,X,Y,B,G,R,Gx,Gy
25874,183782,62,14,255,170,0,0.0,0.0
33381,3271,67,6,243,156,0,0.0927510698353074,-0.01842431943322176
33445,3335,35,42,68,61,187,0.01842431943322176,0.0927510698353074
28814,565884,33,3,133,89,56,0.0,0.0
29627,7301,73,97,11,207,0,0.0,0.0
17660,122131,36,67,69,101,123,0.0,0.0
14704,391036,61,56,119,118,49,0.0,0.0
16472,384613,96,5,253,207,0,0.0,0.0
9801,229708,26,52,79,80,185,0.0,0.0
6631,31301,16,85,47,92,141,0.0,0.0
34814,4704,61,39,167,99,0,0.10335206051617353,-0.06157568056677825
6760,97655,89,35,249,163,0,0.0,0.0
21047,505346,18,74,63,89,171,0.0,0.0
24550,535002,19,14,98,75,152,0.0,0.0
35961,5851,40,16,105,84,92,-0.03088667636830605,-0.03088667636830605
6072,237283,3,55,59,55,175,0.0,0.0
23390,108006,94,14,250,202,0,0.0,0.0
26556,45013,56,53,119,114,72,0.0,0.0
36719,6609,74,22,188,125,0,-0.0927510698353074,-0.01842431943322176
34509,4399,76,2,250,179,0,0.06712694158311132,0.016733781794646463
10448,168086,2,62,55,70,146,0.0,0.0
34385,4275,65,36,121,93,59,0.0,0.014613556019536122
26706,26082,64,54,121,122,15,0.0,0.0
11242,505270,17,98,32,99,81,0.0,0.0
21866,215349,81,65,121,134,0,0.0,0.0
19876,8291,84,19,254,190,0,0.0,0.0
18264,524378,11,62,63,75,198,0.0,0.0
26568,62015,27,83,52,103,107,0.0,0.0
37201,7091,69,29,119,95,50,0.0,0.014613556019536122
18650,55042,57,52,136,88,86,0.0,0.0
30901,791,68,47,104,87,83,0.05077710678338576,0.05077710678338576
28576,163064,51,12,202,120,4,0.0,0.0
7303,335023,93,75,87,159,0,0.0,0.0
1829,467467,34,83,55,113,82,0.0,0.0
15010,48288,89,28,253,182,0,0.0,0.0
37516,7406,31,22,119,86,53,0.016733781794646463,-0.06712694158311132
21436,78800,98,24,255,195,0,0.0,0.0
25323,164190,63,34,205,126,0,0.0,0.0
2055,490255,66,55,131,126,0,0.0,0.0
13086,315608,97,4,253,205,0,0.0,0.0
22512,206284,89,72,95,158,0,0.0,0.0
10888,126933,85,97,2,211,0,0.0,0.0
1616,327589,18,13,100,74,152,0.0,0.0
26808,522913,96,97,4,210,0,0.0,0.0
15607,422764,82,68,107,150,0,0.0,0.0
655,233368,63,12,248,149,0,0.0,0.0
25415,414410,97,86,49,192,0,0.0,0.0
9288,366522,12,58,65,74,217,0.0,0.0
15695,46361,70,1,255,171,0,0.0,0.0
18813,473751,98,95,21,208,0,0.0,0.0
37240,7130,72,30,139,103,0,-0.015067403328270003,-0.03014605954138166
30604,494,93,58,111,119,0,0.016733781794646463,-0.06712694158311132
18709,577983,55,35,172,115,53,0.0,0.0
15468,473240,93,84,56,187,0,0.0,0.0
4,262681,61,37,195,123,0,0.0,0.0
15270,96716,79,96,24,199,0,0.0,0.0
509,290505,42,17,162,106,68,0.0,0.0
19139,104058,54,66,101,99,1,0.0,0.0
18943,245613,88,13,252,196,0,0.0,0.0
18338,452842,87,30,255,178,0,0.0,0.0
27362,97264,85,44,217,139,0,0.0,0.0
19294,537625,46,65,79,113,86,0.0,0.0
4227,169341,15,17,93,73,175,0.0,0.0
17284,306717,6,85,43,84,146,0.0,0.0
35925,5815,37,18,66,73,131,-0.06712694158311132,0.016733781794646463
37565,7455,22,80,44,95,94,-0.10335206051617353,0.06157568056677825
35826,5716,34,36,120,79,62,0.09632405027258556,-0.03826297667586875
9381,410932,63,8,247,151,0,0.0,0.0
4400,357217,18,25,98,78,184,0.0,0.0
2247,446386,21,46,85,82,202,0.0,0.0
17925,370264,50,45,117,107,101,0.0,0.0
36111,6001,78,42,117,111,0,-0.03451121964800863,-0.06920142621660752
5910,225010,79,54,168,132,0,0.0,0.0
10829,359994,46,2,174,104,1,0.0,0.0
28945,278583,21,67,66,90,179,0.0,0.0
32945,2835,36,24,57,63,157,-0.05474926718086332,0.07313727383716523
22563,418267,36,43,80,77,161,0.0,0.0
4859,56178,69,46,179,123,0,0.0,0.0
5388,467729,37,45,91,89,137,0.0,0.0
32632,2522,29,36,98,85,64,-0.015067403328270003,-0.03014605954138166
198,426596,21,0,98,72,108,0.0,0.0
9235,225423,83,67,116,140,0,0.0,0.0
6604,558407,57,3,224,132,0,0.0,0.0
29581,251,2,51,63,67,167,0.0,0.0
